Distance_km,Traffic_Level,Weather,Delivery_Rating,Vehicle_Type,Delivery_Time_Min,On_Time
2,Low,Clear,4.8,Bike,18,1
5,Medium,Clear,4.5,Bike,25,1
8,High,Rainy,4.2,Bike,42,0
3,Low,Clear,4.9,Scooter,20,1
10,High,Foggy,4.0,Bike,50,0
6,Medium,Clear,4.4,Scooter,28,1
12,High,Rainy,3.9,Bike,55,0
4,Low,Clear,4.7,Bike,22,1
7,Medium,Cloudy,4.3,Scooter,32,0
9,High,Rainy,4.1,Bike,45,0
1,Low,Clear,5.0,Bike,15,1
11,High,Foggy,3.8,Scooter,52,0
5,Medium,Cloudy,4.6,Bike,27,1
13,High,Rainy,3.7,Bike,60,0
2,Low,Clear,4.9,Scooter,17,1
8,Medium,Cloudy,4.2,Bike,35,0
6,Medium,Clear,4.5,Bike,29,1
14,High,Foggy,3.6,Scooter,65,0
3,Low,Clear,4.8,Bike,21,1
7,Medium,Rainy,4.1,Scooter,38,0
